"工程名称","施工许可证编号","省级项目编号","建设单位","建设地址","建设规模","合同价格","工程总承包单位","勘察单位","设计单位","施工单位","监理单位","建设单位项目负责人","工程总承包项目经理","勘察单位项目负责人","设计单位项目负责人","施工单位项目负责人","总监理工程师","合同工期","状态","备注","发证机关","数据等级"
"严云新商住楼","441602202608100101","4416022608100001","严云新","河源市新市区东埔白岭头管理区205国道东边地段","新建1栋商住楼地上7层面积3740平方米，地下1层面积956.16平方米，建筑总面积4696.16平方米。（框架结构）",610,"","河源市工程勘察院有限公司","广东鸿宇建筑与工程设计顾问有限公司","广东卓凡工程安装有限公司","中楠建设管理集团有限公司","严海峰","","蒋小刚","李俊刚","叶星","谷彬","365 日历天","正常","质量监督注册号:S2026001;安全监督注册号:S2026001","河源市源城区住房和城乡建设局","C"
"广东华筑铝合金模板有限公司厂区-2号厂房","441602202608110101","4416022608110001","广东华筑铝合金模板有限公司","河源市河源大道东边，农场路南边","2号厂房，一栋三层，总建筑面积:9708平方米（框架结构)",900,"","广东海业岩土工程有限公司","广州亚泰建筑设计院有限公司","广东源兴建设工程有限公司","中楠建设管理集团有限公司","翁洪贞","","余红安","王成","顾伶俐","何海景","365 日历天","正常","质量监督注册号:2026-018;安全监督注册号:2026-018","河源市源城区住房和城乡建设局","C"
"源城区绿美环湖路（西环路段）提升改造建设项目设计施工总承包","441602202608110201","4416022608110002","河源市源城区源西街道办事处","河源市源城区西环路（源西段），南起庄田桥，北至万绿湖大道，全长约5.5公里，涉及源西街道庄田村、新塘村等8个村(社区)","房建工程、环境整治工程、景观提升工程及相关市政配套工程。包括对沿线约255栋房屋进行屋顶及外立面改造提升；新建或翻新围墙围挡、实施绿化围蔽；驿站建设及景观节点打造，配套亮化照明及景观小品；统一规范沿线广告招牌；同步实施人行道修复、步道提升、排水设施修缮、三线整治等市政基础工程。",1083.0904,"广东源信建设有限公司","","河源城建市政规划设计有限公司","广东源信建设有限公司","广东粤众建项目管理咨询有限公司","吴其璐","傅彭镇","","梁志光","傅彭镇","管忠祥","121 日历天","正常","质量监督注册号:2026-017;安全监督注册号:2026-017","河源市源城区住房和城乡建设局","C"
"华杭新能源科技（河源）有限公司新建厂房和购置设备项目","441602202608140199","4416022608140001","华杭新能源科技（河源）有限公司","源城产业园区河源大道东面、规划道路西面","总建筑面积：7001.91㎡，其中厂房1#：5244㎡，1层；宿舍楼：1757.91㎡，6层。（工程规划许可证上总建筑面积：11979.91㎡，计容面积：11979.91㎡，其中：厂房1#：10222㎡（本层基底面积5244㎡，根据《工业项目建设用地控制指标》（国土资发〔2008〕24号）附加1第二条第二项“建筑物层高超过8米的，在计算容积率时该层建筑面积加倍计算”）；宿舍楼：1757.91㎡）【框架结构】",1804.9161,"","江西核鹰勘测规划设计有限责任公司","中联创工程设计有限公司","广东东正建设工程有限公司","广东友和工程管理有限公司","黄小天","","卞国林","苏榆淞","李子文","邹世贤","243 日历天","正常","质量监督注册号:2026-008;安全监督注册号:2026-008","河源市源城区住房和城乡建设局","C"
"高埔岗街道新作塘社区门店建设工程","441602202608180101","4416022608180001","河源市源城区高埔岗街道新作塘社区居民委员会","高埔岗农场城市副中心市场规划区第109、110、111号","项目主要新建一栋地上4层，建筑高度16.10m，框架结构，占地225平方米，总建筑面积957.64平方米的门店。",309.02,"","江西核鹰勘测规划设计有限责任公司","西桥设计有限公司","广东源信建设有限公司","广州市鑫捷工程项目管理有限公司","叶崇佳","","卞国林","杨强生","苏润华","于允贵","252 日历天","正常","质量监督注册号:2026-019;安全监督注册号:2026-019","河源市源城区住房和城乡建设局","C"
"广东宸瀚重工科技有限公司智能制造生产基地建设项目","441621202608070101","4416212608120001","广东宸瀚重工科技有限公司","蓝塘镇蓝塘产业新城CYXC05-0401地块内CYXC-9号地块","总建筑面积：66184.1平方米，计容面积：124552.1平方米；主要建设内容包括：三栋厂房，一栋宿舍。",15188,"","江西核鹰勘测规划设计有限责任公司","广东省惠阳建筑设计院","广东中濂建设有限公司","中正创兴工程管理（广东）有限公司","何开洪","","卞国林","林素文","郑宗年","骆文俊","364 日历天","正常","质量监督注册号:2026009;安全监督注册号:2026009","紫金县住房和城乡建设局","C"
"河源市连平县澳美五金产品生产厂房建设项目","441623202608110101","4416232608110001","中山市澳美家具制造有限公司连平分公司","河源市连平县隆街镇产业物流园B-03-09A号地段","项目在河源市连平县隆街镇产业物流园B-03-09A号地块建设1栋4层混凝土厂房，1栋5层宿舍楼（含办公楼），地下1层泵房消防水池。本项目总建筑面积14922.6平方米。",2170,"广东智宏建筑工程有限公司","江西核鹰勘测规划设计有限责任公司","河源城建市政规划设计有限公司","广东智宏建筑工程有限公司","中山中建设计监理咨询有限公司","王文利","何华云","卞国林","梁志光","何华云","何流坤","304 日历天","正常","质量监督注册号:2026-024;安全监督注册号:2026-024","连平县住房和城乡建设局","C"
"广东信大合金有限公司高温合金研发及制造生产项目","441631202608070101","4416312608070001","广东信大合金有限公司","河源江东新区产业园区起步区规划横二路南面、规划经八路西边","新建1栋厂房，地上五层，建筑总面积21437.97㎡。",2388.59,"","江西核鹰勘测规划设计有限责任公司","华睿诚工程设计有限公司","福建通宏建设工程有限公司","中城永磊工程管理有限公司","李燕雄","","卞国林","杜小成","林建美","梁新华","365 日历天","正常","质量监督注册号:2026-012;安全监督注册号:2026-012","江东新区自然资源和城乡建设局（交通运输局、生态环境局）","C"
"竹港酒店竹港城改建项目","441631202608070201","4416312512290001","河源市竹港实业有限公司","河源市江东新区古竹镇总体规划31小区","本此次改造在保留原12层主体建筑的基础上将裙房以及配套用房全部拆除，然后重建三层裙房及局部一层地下室，并对12层主体建筑的外立面以及内部进行升级改造。改造后原12层主体为酒店加部分商业出租用途，三层裙房作为商业出租用途，地下一层作为备用房。该建筑规划建设用地面积为3442.10㎡、原建筑建筑面积为8485.810㎡、保留改造建筑面积为4509.78㎡、拆除建筑面积3976.03㎡、新建建筑面积5970.68㎡，改造新建后规划总建筑面积为1048.46㎡、规划计容总建筑面积为9753.13㎡、地上停车位为67辆。",2600,"广东益林建设有限公司","江西核鹰勘测规划设计有限责任公司","浙江耀华规划建筑设计有限公司","广东益林建设有限公司","广东协程项目管理有限公司","邝丽娜","黄瑞泽","卞国林","程欣","黄瑞泽","曾志勇","419 日历天","正常","质量监督注册号:2026-012;安全监督注册号:2026-012","江东新区自然资源和城乡建设局（交通运输局、生态环境局）","C"
"河源国家高新区跨江产业园基础设施及配套建设项目（一期）-东江东路第一阶段市政工程","441632202608040102","4416322409250001","河源市润业投资有限公司","河源市高新区跨江空间融合发展区科创五路西","路宽16m，长度约749.07m。",1692.67,"","广东核地勘测设计有限公司","中国市政工程东北设计研究总院有限公司","广东晟达丰建设有限公司","广东臻畅工程管理有限公司","江宇晨","","周小刚","刘子其","梁云","蓝靖","179 日历天","正常","质量监督注册号:2026-022;安全监督注册号:2026-022","河源市高新技术开发区管理委员会国土规划建设局","C"
