"工程名称","施工许可证编号","省级项目编号","建设单位","建设地址","建设规模","合同价格","工程总承包单位","勘察单位","设计单位","施工单位","监理单位","建设单位项目负责人","工程总承包项目经理","勘察单位项目负责人","设计单位项目负责人","施工单位项目负责人","总监理工程师","合同工期","状态","备注","发证机关","数据等级"
"黄埔区将军山地块横二路、横三路、 纵二路市政道路工程","440112202608180102","4401122608180001","广州开发区财政投资建设项目管理中心","广州市黄埔区南岗街道广州市 黄埔区 南岗街道","1.38 千米",5127.3845,"中交第二航务工程局有限公司","江西核地勘测设计有限公司","中交第二公路勘察设计研究院有限公司","中交第二航务工程局有限公司,科学城(广州)建筑工程有限公司","广州珠江监理咨询集团有限公司","高尚","龙志军","邵继勇","黄洪超","龙志军","崔伟","418 日历天","正常","质量监督注册号:HPJD20260005;安全监督注册号:HPJD20260005","广州市黄埔区住房和城乡建设局","C"
"梅观创新走廊智造产业园桩基础工程","440301202608180301","4403012103239912","深圳市福民丹坑股份合作公司,深圳市福民江围股份合作公司,深圳市福民悦兴罗氏股份合作公司,深圳市宝松股份合作公司,深圳市大布巷股份合作公司,深圳市龙华安居有限公司（委托建设）","龙华区福城街道新丹路南面丹荟路东面","0",4923.0218,"","深圳市岩土综合勘察设计有限公司","基准方中建筑设计股份有限公司","上海市基础工程集团有限公司","深圳市建力建设监理有限公司","王川","","","","蔡用国","张赣江","89 日历天","正常","质量监督注册号:无;安全监督注册号:无","深圳市龙华区住房和建设局","C"
"梅观创新走廊智造产业园主体工程","440301202608180401","4403012103239912","深圳市龙华安居有限公司（委托建设）,深圳市福民丹坑股份合作公司,深圳市福民江围股份合作公司,深圳市福民悦兴罗氏股份合作公司,深圳市宝松股份合作公司,深圳市大布巷股份合作公司","龙华区福城街道新丹路南面丹荟路东面","261275.39",59665.4079,"","深圳市岩土综合勘察设计有限公司","深圳市同济人建筑设计有限公司","中建三局第二建设工程有限责任公司","深圳市建力建设监理有限公司","王川","","","","卫洋洲","张赣江","835 日历天","正常","质量监督注册号:无;安全监督注册号:无","深圳市龙华区住房和建设局","C"
